CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87731448;Porte Maillot;N;O;979000;1;005+500;PARIS;PARIS;109993;3964dfe0-0a8a-11ec-b1ff-01bcb2273146;647391.4362000003;6864461.916299999;2.282700734140375;48.87802770024631;48.87802770024631, 2.2827007341403753;48.878027700224365, 2.282700734140375;"{""coordinates"": [2.282700734140375, 48.878027700224365], ""type"": ""Point""}"
87487280;Cerizay;O;O;525000;1;107+926;CERIZAY;DEUX-SEVRES;109998;d99e94a8-6667-11e3-89ff-01f464e0362d;420506.0806000009;6641735.585000001;-0.667128979794668;46.817347724323724;46.817347724323724, -0.6671289797946683;46.817347724309364, -0.6671289797946716;"{""coordinates"": [-0.667128979794672, 46.817347724309364], ""type"": ""Point""}"
87313221;Ailly-sur-Noye;O;O;272000;1;111+073;AILLY-SUR-NOYE;SOMME;109999;d98e691e-6667-11e3-89ff-01f464e0362d;654138.5744000003;6961911.685899999;2.363989535760906;49.75450030857732;49.75450030857732, 2.3639895357609055;49.75450030855965, 2.3639895357609046;"{""coordinates"": [2.363989535760905, 49.75450030855965], ""type"": ""Point""}"
87784777;Sauto;N;O;669000;1;022+727;SAUTO;PYRENEES-ORIENTALES;110000;e19330ba-19bf-11e5-a6ff-01fc64e0362d;630839.9179999977;6156630.4054999985;2.159738419213346;42.50617882068315;42.50617882068315, 2.159738419213346;42.5061788206574, 2.1597384192133458;"{""coordinates"": [2.159738419213346, 42.5061788206574], ""type"": ""Point""}"
87185157;Grattery;N;N;001000;1;372+155;GRATTERY;HAUTE-SAONE;110004;e5499846-6667-11e3-a7ff-01f464e0362d;931270.8008000031;6734575.475200001;6.082641785832016;47.670932279956666;47.670932279956666, 6.082641785832016;47.67093227994481, 6.082641785832019;"{""coordinates"": [6.082641785832019, 47.67093227994481], ""type"": ""Point""}"
87645168;Maurs;O;O;720000;1;257+616;MAURS;CANTAL;110012;e188d5b6-19bf-11e5-a6ff-01fc64e0362d;636617.3095000014;6401088.439399999;2.199829974204467;44.706025754805985;44.706025754805985, 2.1998299742044667;44.706025754785614, 2.1998299742044662;"{""coordinates"": [2.199829974204466, 44.706025754785614], ""type"": ""Point""}"
87745430;St-Julien-en-Genevois;O;O;892000;1;157+544;SAINT-JULIEN-EN-GENEVOIS;HAUTE-SAVOIE;110015;29e6236c-dfbc-11e3-a2ff-01a464e0362d;938117.5025999993;6564886.258200001;6.085473821494126;46.141913343428044;46.141913343428044, 6.0854738214941255;46.1419133434117, 6.085473821494127;"{""coordinates"": [6.085473821494127, 46.1419133434117], ""type"": ""Point""}"
87597260;Ingrandes-Mérigny;N;N;601000;1;396+684;INGRANDES;INDRE;110025;e53d7ed8-6667-11e3-a7ff-01f464e0362d;544053.4223000035;6613223.4142;0.962528674316648;46.60095171312809;46.60095171312809, 0.962528674316648;46.60095171311308, 0.9625286743166465;"{""coordinates"": [0.962528674316646, 46.60095171311308], ""type"": ""Point""}"
87354704;Mauves-Corbon;N;N;423000;1;046+945;CORBON;ORNE;110026;e54f1b5a-6667-11e3-a7ff-01f464e0362d;525436.0983999968;6819198.1019;0.638980296926186;48.44956685200764;48.44956685200764, 0.6389802969261856;48.449566851983484, 0.6389802969261833;"{""coordinates"": [0.638980296926183, 48.449566851983484], ""type"": ""Point""}"
87763466;Embrun;N;O;915000;2;304+491;EMBRUN;HAUTES-ALPES;110032;e133e9d6-19bf-11e5-a6ff-01fc64e0362d;977534.610799998;6391441.5823;6.496152520286437;44.56674756944446;44.56674756944446, 6.496152520286437;44.5667475694237, 6.49615252028644;"{""coordinates"": [6.49615252028644, 44.5667475694237], ""type"": ""Point""}"
87571521;Mettray;N;N;561000;1;248+576;METTRAY;INDRE-ET-LOIRE;110033;e55125ea-6667-11e3-a7ff-01f464e0362d;522470.7740999982;6707822.989599999;0.643832879621036;47.44692117342614;47.44692117342614, 0.6438328796210356;47.446921173413635, 0.6438328796210336;"{""coordinates"": [0.643832879621034, 47.446921173413635], ""type"": ""Point""}"
